CellTypeID	CellType	CellGroup	Tool
T.cells.CD4.memory.resting_Cibersort	T.cell.CD4.memory.resting	Leukocyte	Cibersort
T.cells.CD4.memory.resting_CIBERSORTx	T.cell.CD4.memory.resting	Leukocyte	CIBERSORTx
T.cells.CD4.memory.resting_SGL	T.cell.CD4.memory.resting	Leukocyte	SGL
CD4..naive.T.cells_xCell	T.cell.CD4.naive	Leukocyte	xCell
T.cells.CD4.naive_Cibersort	T.cell.CD4.naive	Leukocyte	Cibersort
T.cells.CD4.naive_CIBERSORTx	T.cell.CD4.naive	Leukocyte	CIBERSORTx
T.cells.CD4.naive_SGL	T.cell.CD4.naive	Leukocyte	SGL
Activated.CD8.T.cell.Adaptive_ssGSEA	T.cell.CD8	Leukocyte	ssGSEA
CD8_Tcells_EPIC-mRNA	T.cell.CD8	Leukocyte	EPIC-mRNA
CD8..T.cells_xCell	T.cell.CD8	Leukocyte	xCell
CD8.T.cells_MCP	T.cell.CD8	Leukocyte	MCP
CD8.T.cells.Danaher_ssGSEA	T.cell.CD8	Leukocyte	ssGSEA
CD8.T.cells.Sanders_ssGSEA	T.cell.CD8	Leukocyte	ssGSEA
T.cell.CD8._quantiseq	T.cell.CD8	Leukocyte	quantiseq
T.cell.CD8._TIMER	T.cell.CD8	Leukocyte	TIMER
T.cells.CD8_Cibersort	T.cell.CD8	Leukocyte	Cibersort
T.cells.CD8_CIBERSORTx	T.cell.CD8	Leukocyte	CIBERSORTx
T.cells.CD8_SGL	T.cell.CD8	Leukocyte	SGL
CD8..Tcm_xCell	T.cell.CD8.central.memory	Leukocyte	xCell
CD8..Tem_xCell	T.cell.CD8.effector.memory	Leukocyte	xCell
CD8.effector.Davoli_ssGSEA	T.cell.CD8.effector.memory	Leukocyte	ssGSEA
Central.memory.CD8.T.cell.Adaptive_ssGSEA	T.cell.CD8.central.memory	Leukocyte	ssGSEA
Effector.memeory.CD8.T.cell.Adaptive_ssGSEA	T.cell.CD8.effector.memory	Leukocyte	ssGSEA
CD8..naive.T.cells_xCell	T.cell.CD8.naive	Leukocyte	xCell
Tcm.cells.Sanders_ssGSEA	T.cell.central.memory	Leukocyte	ssGSEA
Tem.cells.Sanders_ssGSEA	T.cell.effector.memory	Leukocyte	ssGSEA
T.cells.follicular.helper_Cibersort	T.cell.follicular.helper	Leukocyte	Cibersort
T.cells.follicular.helper_CIBERSORTx	T.cell.follicular.helper	Leukocyte	CIBERSORTx
T.cells.follicular.helper_SGL	T.cell.follicular.helper	Leukocyte	SGL
T.follicular.helper.cell.Adaptive_ssGSEA	T.cell.follicular.helper	Leukocyte	ssGSEA
Tfh.cells.Sanders_ssGSEA	T.cell.follicular.helper	Leukocyte	ssGSEA
Gamma.delta.T.cell.Adaptive_ssGSEA	T.cell.gamma.delta	Leukocyte	ssGSEA
T.cells.gamma.delta_Cibersort	T.cell.gamma.delta	Leukocyte	Cibersort
T.cells.gamma.delta_CIBERSORTx	T.cell.gamma.delta	Leukocyte	CIBERSORTx
T.cells.gamma.delta_SGL	T.cell.gamma.delta	Leukocyte	SGL
Tgd.cells_xCell	T.cell.gamma.delta	Leukocyte	xCell
Tgd.cells.Sanders_ssGSEA	T.cell.gamma.delta	Leukocyte	ssGSEA
T.helper.cells.Sanders_ssGSEA	T.helper.cells	Leukocyte	ssGSEA
